date,number
15-Jul-2013,26883
22-Jul-2013,27256
29-Jul-2013,27643
5-Aug-2013,28097
12-Aug-2013,28380
19-Aug-2013,28662
26-Aug-2013,28979
2-Sep-2013,29231
9-Sep-2013,29552
16-Sep-2013,29777
23-Sep-2013,30008
30-Sep-2013,30385
7-Oct-2013,30660
14-Oct-2013,30931
21-Oct-2013,31215
28-Oct-2013,31550
4-Nov-2013,31923
11-Nov-2013,32074
18-Nov-2013,32307
25-Nov-2013,32588
2-Dec-2013,32792
9-Dec-2013,33102
16-Dec-2013,33326
23-Dec-2013,33607
30-Dec-2013,33866
6-Jan-2014,34189
13-Jan-2014,34502
20-Jan-2014,34711
27-Jan-2014,35050
3-Feb-2014,35308
10-Feb-2014,35527
17-Feb-2014,35674
24-Feb-2014,35912
3-Mar-2014,36171
10-Mar-2014,36343
17-Mar-2014,36536
24-Mar-2014,36676
31-Mar-2014,36860
7-Apr-2014,37034
14-Apr-2014,37170
21-Apr-2014,37289
28-Apr-2014,37453
5-May-2014,37639
12-May-2014,37772
19-May-2014,37897
26-May-2014,38012
2-Jun-2014,38187
9-Jun-2014,38309
16-Jun-2014,38417
23-Jun-2014,38609
30-Jun-2014,38793
7-Jul-2014,38914
14-Jul-2014,39030
21-Jul-2014,39196
28-Jul-2014,39298
4-Aug-2014,39477
11-Aug-2014,39562
18-Aug-2014,39643
25-Aug-2014,39763
1-Sep-2014,39889
8-Sep-2014,39975
15-Sep-2014,40095
22-Sep-2014,40202
29-Sep-2014,40335
6-Oct-2014,40451
13-Oct-2014,40544
20-Oct-2014,40631
27-Oct-2014,40699
3-Nov-2014,40828
10-Nov-2014,40898
17-Nov-2014,41019
24-Nov-2014,41144
1-Dec-2014,41253
8-Dec-2014,41363
15-Dec-2014,41491
22-Dec-2014,41617
29-Dec-2014,41638
5-Jan-2015,41643
12-Jan-2015,41659
19-Jan-2015,41670
26-Jan-2015,41672
2-Feb-2015,41674
9-Feb-2015,41674
16-Feb-2015,41674
23-Feb-2015,41674
2-Mar-2015,41674
9-Mar-2015,41674
16-Mar-2015,41674
23-Mar-2015,41674
30-Mar-2015,41674
6-Apr-2015,41674
13-Apr-2015,41674
20-Apr-2015,41674
27-Apr-2015,41675
4-May-2015,41675
11-May-2015,41675
18-May-2015,41676
25-May-2015,41676
1-Jun-2015,41676
8-Jun-2015,41676
15-Jun-2015,41676
22-Jun-2015,41676
29-Jun-2015,41676
6-Jul-2015,41676
13-Jul-2015,41684
20-Jul-2015,41685
27-Jul-2015,41687
3-Aug-2015,41690
10-Aug-2015,41697
17-Aug-2015,41698
24-Aug-2015,41701
31-Aug-2015,41706
7-Sep-2015,41707
14-Sep-2015,41708
21-Sep-2015,41714
28-Sep-2015,41718
5-Oct-2015,41719
12-Oct-2015,41719
19-Oct-2015,41719
26-Oct-2015,41719
2-Nov-2015,41719
9-Nov-2015,41719
16-Nov-2015,41719
23-Nov-2015,41719
30-Nov-2015,41719
